,label,0.0,5.0,10.0,15.0,20.0,25.0
122,meanRate,0.00417575340201,-0.0261860896861,0.0573109404956,0.0720286974158,-0.119363503481,0.18406647948
122,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
122,stdRate,0.0509954150581,0.0380685383025,,,,
123,meanRate,0.12301551279,0.316371036123,0.209655319501,0.371953546302,0.3069491874,-0.142214855938
123,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
123,stdRate,0.116721919366,0.350882072609,,,,
124,meanRate,0.51191576716,0.938828262936,2.24485633275,1.45237784584,2.67582727459,2.78012809463
124,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
124,stdRate,0.831563898528,1.1478604611,,,,
125,meanRate,0.128031251696,0.109416589556,-0.111064379818,0.0355702715013,0.00738216548853,0.6071505937
125,numTrials,4.0,3.0,1.0,1.0,1.0,1.0
125,stdRate,0.125155969837,0.251827789838,,,,
